name,symbol
Inter-Delta,INTD
Mitra Keluarga Karyasehat,MIKA
Red Planet Indonesia Tbk,PSKT
Mitra Energi Persada,KOPI
Alakasa Industrindo Tbk,ALKA
PP Properti Tbk PT,PPRO
Argo Pantes Tbk,ARGO
Puradelta Lestari Tbk Pt,DMAS
Radana Bhaskara Finance Tbk,HDFA
Merdeka Copper Gold TBK PT,MDKA
Mega Manunggal Property,MMLP
Steady Safe TBK PT,SAFE
Bukaka Teknik Utama,BUKK
Anabatic Technologies Tbk,ATIC
Binakarya Jaya Abadi Tbk PT,BIKA
Garuda Metalindo Tbk,BOLT
Bank Harda Internasional Tbk PT,BBHI
Victoria Insurance Tbk PT,VINS
Mitra Komunikasi Nusantara Tbk PT,MKNT
Ateliers Mecaniques D’Indonesie,AMIN
Primarindo Asia Infrastructure Tbk,BIMA
Dua Putra Utama Makmur PT,DPUM
Indonesia Pondasi Raya Tbk PT,IDPR
Kino Indonesia Tbk PT,KINO
Bank Artos Indonesia,ARTO
Mahaka Radio,MARI
Mitra Pemuda,MTRA
Bank Ganesha Tbk PT,BGTG
Cikarang Listrindo,POWR
Duta Intidaya,DAYA
Sillo Maritime Perdana,SHIP
Graha Andrasentra,JGLE
Capital Financial Ind,CASA
Protech Mitra Perkasa,OASA
Indo Komoditi Korpora,INCF
Waskita Beton Precast,WSBP
Aneka Gas,AGII
Paramita Bangun Sarana,PBSA
Prodia Widyahusada,PRDA
Bintang Oto Global,BOGA
Nusantara Pelabuhan,PORT
Anugerah Kagum Karya,AKKU
Central Omega Resources,DKFT
Sumber Energi Andalan,ITMA
Perdana Bangun Pusaka,KONI
Industri Dan Perdagangan,CARS
Forza Land Indonesia,FORZ
Sanurhasta Mitra,MINA
Sariguna Primatirta,CLEO
PT Cahayasakti Investindo,CSIS
PT Pelayaran Tamarin,TAMU
Terregra Asia,TGRA
Megapower Makmur,MPOW
Armidian Karyatama,ARMY
PT First Indo American Leasing,FINN
Totalindo Eka Persada,TOPS
Buyung Poetra Sembada,HOKI
Kirana Megatara,KMTR
Hartadinata Abadi,HRTA
Integra Indocabinet,WOOD
Alfa Energi Investama,FIRE
Map Boga Adiperkasa,MAPB
Marga Abhinaya Abadi,MABA
Mark Dynamics Indonesia,MARK
Ayana Land,NASA
Emdeki Utama,MDKI
Trisula Textile,BELL
Kioson Komersial,KIOS
Garuda Maintenance Facility,GMFI
Malacca Trust Wuwungan,MTWI
Kapuas Prima Coal,ZINC
Majapahit Intiora,AKSI
Pembangunan Perumahan,PPRE
Wijaya Karya Bangunan Gedung,WEGE
M Cash Integrasi PT,MCAS
Pelita Samudera,PSSI
Asuransi Jiwa Syariah,JMAS
Campina Ice Cream,CAMP
Dwi Guna Laksana,DWGL
Jasa Armada Indonesia,IPCM
Panca Budi Idaman,PBID
Prima Cakrawala Abadi,PCAR
LCK Global Kedaton,LCKM
Cita Mineral,CITA
Borneo Olah Sarana,BOSS
Jaya Trishindo,HELI
Sky Energy,JSKY
Gihon Telekom,GHON
Indah Prakasa Sentosa,INPS
Tridomain Performance,TDPM
PT Dafam Property,DFAM
Bank BRISyariah,BRIS
PT Surya Pertiwi,SPTO
Medikaloka Hermina,HEAL
Guna Timur Raya,TRUK
PT Sarimelati Kencana,PZZA
Sriwahana,SWAT
Asuransi Tugu Pratama,TUGU
MNC Studios,MSIN
Steadfast Marine,KPAL
Bank Tabungan Pensiunan,BTPS
Charnic Capital,NICK
Royal Prima,PRIM
Skybee,SKYB
PT Trimuda Nuansa,TNCA
Batavia Prosperindo Trans,BPTR
PT Kendaraan Terminal,IPCC
Jaya Sukses Makmur,RISE
MAP Aktif Adiperkasa,MAPA
Transcoal Pacific,TCPI
Pollux Properti,POLL
Mahkota,MGRO
NFC Indonesia,NFCX
Sinergi Megah Internusa,NUSA
MD Pictures,FILM
Andira Agro,ANDI
Trimitra Propertindo,LAND
Madusari Murni Indah,MOLI
Arkadia Digital,DIGI
Pratama Abadi Nusa,PANI
Natura City,CITY
HK Metals Utama,HKMU
Cottonindo Ariesta,KPAS
Propertindo Mulia,MPRO
Satria Antaran Prima,SAPX
Super Energy,SURE
Garudafood Putra Putri,GOOD
PT Jaya Bersama,DUCK
Superkrane Mitra Utama,SKRN
Cahayaputra Asa Keramik,CAKK
Kota Satu,SATU
Yelooo Integra,YELO
Shield On Service,SOSS
Dewata Freight,DEAL
Pool Advista Finance,POLA
Nusantara Voucher,DIVA
Sentral Mitra Informatika,LUCK
Satria Mega Kencana,SOTS
Urban Jakarta Propertindo,URBN
Mega Perintis,ZONE
Phapros,PEHA
Sentra Food,FOOD
Estika Tata Tiara,BEEF
Pollux Investasi,POLI
Citra Putra,CLAY
Nusantara Properti,NATO
Armada Berjaya,JAYA
PT Wahana Interfood,COCO
Meta Epsi,MTPS
Capri Nusa Satu Properti,CPRI
Menteng Heritage Realty,HRME
Bliss Properti Indonesia,POSA
Jasnita Telekom,JAST
Hotel Fitra International,FITT
Bali Bintang Sejahtera,BOLA
Communication Cable Systems,CCSI
Surya Fajar Capital,SFAN
Golden Flower,POLU
Bima Sakti Pertiwi,PAMG
Darmi Bersaudara,KAYU
Indonesian Tobacco,ITIC
Krida Jaringan Nusantara,KJEN
Envy Technologies,ENVY
Berkah Prima Perkasa,BLUE
MNC Vision Networks,IPTV
Hensel Davest,HDIT
Satyamitra Kemas Lestari,SMKL
Inocycle,INOV
Arkha Jayanti,ARKA
Eastparc Hotel,EAST
Asuransi Jiwa Sinarmas,LIFE
Fuji Finance Indonesia,FUJI
DMS Propertindo,KOTA
Ciptadana REIT,XCID
Kencana Energi,KEEN
Telefast Indonesia,TFAS
Bhakti Agung Propertindo,BAPI
Gunung Raja,GGRP
Optima Prima,OPMS
Nusantara Almazia,NZIA
Gaya Abadi,SLIS
Trinitan,PURE
Itama Ranoraya,IRRA
Digital Mediatama Maxima,DMMX
Ginting Jaya Energi,WOWS
Singaraja Putra,SINI
